"subject" "activity" "mean of means" "mean of sd"
1 "WALKING" -0.319105810200331 0.452722654264638
2 "WALKING" -0.385708093716054 0.471751410540144
3 "WALKING" -0.386865862874514 0.47042947054323
4 "WALKING" -0.43055661483918 0.485536384535955
5 "WALKING" -0.378535121986988 0.471349048704243
6 "WALKING" -0.337513362522582 0.462995436937977
7 "WALKING" -0.306764482858546 0.458658161670587
8 "WALKING" -0.299755499867352 0.46042789591661
9 "WALKING" -0.37164660578822 0.467267674726799
10 "WALKING" -0.327086776127028 0.459226854544395
11 "WALKING" -0.431366510871248 0.4778994116884
12 "WALKING" -0.355560155447154 0.465934707083466
13 "WALKING" -0.316988827925179 0.460854393995368
14 "WALKING" -0.385501824502105 0.460095719296736
15 "WALKING" -0.390526282476396 0.470930092491822
16 "WALKING" -0.431362808379042 0.477181248917123
17 "WALKING" -0.387039462708526 0.471340331643968
18 "WALKING" -0.436306077297177 0.474007929974224
19 "WALKING" -0.238252786596887 0.441222720223505
20 "WALKING" -0.259518117088663 0.458475195837703
21 "WALKING" -0.330648706245588 0.462261283553448
22 "WALKING" -0.274200987116311 0.460010818917144
23 "WALKING" -0.265296718829829 0.464098141308726
24 "WALKING" -0.416975175176002 0.473945996502654
25 "WALKING" -0.460842122215599 0.482757503377511
26 "WALKING" -0.392008755561813 0.465080130468016
27 "WALKING" -0.377771272094104 0.468490345338959
28 "WALKING" -0.393787255237739 0.468082416558165
29 "WALKING" -0.352894943404783 0.459750416503951
30 "WALKING" -0.373607524126774 0.458741626903586
1 "WALKING_UPSTAIRS" -0.40699661814598 0.484862873610122
2 "WALKING_UPSTAIRS" -0.363983305102955 0.466703992931453
3 "WALKING_UPSTAIRS" -0.424274671811149 0.483280166456723
4 "WALKING_UPSTAIRS" -0.415260374462441 0.482342658990012
5 "WALKING_UPSTAIRS" -0.356353464901252 0.471016513212762
6 "WALKING_UPSTAIRS" -0.330642340129316 0.464916100757488
7 "WALKING_UPSTAIRS" -0.427408293255387 0.478967138009984
8 "WALKING_UPSTAIRS" -0.293377815632218 0.464582765249912
9 "WALKING_UPSTAIRS" -0.427075431896002 0.480856175330876
10 "WALKING_UPSTAIRS" -0.345652600356602 0.463053071179259
11 "WALKING_UPSTAIRS" -0.43527506672087 0.494681275282595
12 "WALKING_UPSTAIRS" -0.42179157558609 0.4801841508273
13 "WALKING_UPSTAIRS" -0.411582073864772 0.481399962634359
14 "WALKING_UPSTAIRS" -0.285486358859423 0.511997359659549
15 "WALKING_UPSTAIRS" -0.393720911542089 0.481360338460772
16 "WALKING_UPSTAIRS" -0.440146451770759 0.485215967490382
17 "WALKING_UPSTAIRS" -0.401431355861112 0.479425823691872
18 "WALKING_UPSTAIRS" -0.470681472754459 0.490071688258084
19 "WALKING_UPSTAIRS" -0.316821118319495 0.457959800536126
20 "WALKING_UPSTAIRS" -0.338291941451443 0.467024672485213
21 "WALKING_UPSTAIRS" -0.381967006088137 0.473554737531349
22 "WALKING_UPSTAIRS" -0.305185521541175 0.468928019106076
23 "WALKING_UPSTAIRS" -0.369581312588007 0.467164879388163
24 "WALKING_UPSTAIRS" -0.43583828688532 0.474251576812081
25 "WALKING_UPSTAIRS" -0.48551223324769 0.493089266961923
26 "WALKING_UPSTAIRS" -0.41167278243368 0.480136846789247
27 "WALKING_UPSTAIRS" -0.426267052017458 0.48671284301688
28 "WALKING_UPSTAIRS" -0.401092965937606 0.473584351968701
29 "WALKING_UPSTAIRS" -0.364429747315138 0.485009059372236
30 "WALKING_UPSTAIRS" -0.439370730188029 0.489520080840848
1 "WALKING_DOWNSTAIRS" -0.297226292824001 0.455514566936833
2 "WALKING_DOWNSTAIRS" -0.259677293061387 0.465729490758389
3 "WALKING_DOWNSTAIRS" -0.350536138554404 0.471565414517055
4 "WALKING_DOWNSTAIRS" -0.363790441016887 0.485503779291866
5 "WALKING_DOWNSTAIRS" -0.296901580091929 0.479605858322798
6 "WALKING_DOWNSTAIRS" -0.198922424840441 0.478007541818861
7 "WALKING_DOWNSTAIRS" -0.317129508211319 0.473530402086289
8 "WALKING_DOWNSTAIRS" -0.19351985419359 0.458724749672543
9 "WALKING_DOWNSTAIRS" -0.313140747277053 0.475828264325837
10 "WALKING_DOWNSTAIRS" -0.263162073365728 0.463337371199746
11 "WALKING_DOWNSTAIRS" -0.348717448293558 0.477173185821431
12 "WALKING_DOWNSTAIRS" -0.311490436338625 0.479102128871457
13 "WALKING_DOWNSTAIRS" -0.317234723087439 0.463191730560919
14 "WALKING_DOWNSTAIRS" -0.203378373864087 0.474784640200934
15 "WALKING_DOWNSTAIRS" -0.280227328116279 0.478913470640684
16 "WALKING_DOWNSTAIRS" -0.339080301791712 0.480317131361736
17 "WALKING_DOWNSTAIRS" -0.365194496888334 0.482880088421838
18 "WALKING_DOWNSTAIRS" -0.438663811185222 0.484648090481038
19 "WALKING_DOWNSTAIRS" -0.078306398113335 0.493267285356331
20 "WALKING_DOWNSTAIRS" -0.247169665420288 0.471620332044863
21 "WALKING_DOWNSTAIRS" -0.291301975673511 0.475622056333089
22 "WALKING_DOWNSTAIRS" -0.287664837258693 0.477672679039378
23 "WALKING_DOWNSTAIRS" -0.20246554081645 0.4574307312881
24 "WALKING_DOWNSTAIRS" -0.359085991984149 0.472990421003547
25 "WALKING_DOWNSTAIRS" -0.429924410531157 0.48048742191466
26 "WALKING_DOWNSTAIRS" -0.322473123490661 0.467151493916604
27 "WALKING_DOWNSTAIRS" -0.312446129792811 0.47435384225082
28 "WALKING_DOWNSTAIRS" -0.291650876955502 0.46256315184821
29 "WALKING_DOWNSTAIRS" -0.31726279115201 0.466798126904517
30 "WALKING_DOWNSTAIRS" -0.358790607945901 0.464525701807421
1 "SITTING" -0.633405230612481 0.546477904027143
2 "SITTING" -0.640597914078914 0.536914141147994
3 "SITTING" -0.622780836987975 0.535481364875035
4 "SITTING" -0.627074988752137 0.530636923654938
5 "SITTING" -0.627014833570021 0.531734627480468
6 "SITTING" -0.625412957710496 0.528560255624084
7 "SITTING" -0.628833138374792 0.536419278331034
8 "SITTING" -0.637726458982249 0.537875923565333
9 "SITTING" -0.627530823653232 0.524475751851574
10 "SITTING" -0.640078551091241 0.542251226544214
11 "SITTING" -0.636081608692102 0.53609946156127
12 "SITTING" -0.636301750626951 0.52622870168125
13 "SITTING" -0.638179130162868 0.543066636603673
14 "SITTING" -0.639930771868791 0.5280379685885
15 "SITTING" -0.641496217339585 0.537109906202275
16 "SITTING" -0.642254023210701 0.540660946111618
17 "SITTING" -0.643707360983648 0.54709797498025
18 "SITTING" -0.650240242162375 0.534395879168263
19 "SITTING" -0.638986666530727 0.53209411177613
20 "SITTING" -0.639872725383092 0.527767117830281
21 "SITTING" -0.644724493205524 0.534193252488579
22 "SITTING" -0.634015600138589 0.532022049722643
23 "SITTING" -0.632843540612456 0.543059200310429
24 "SITTING" -0.646619496620551 0.526925830839725
25 "SITTING" -0.645307467575153 0.534204894318477
26 "SITTING" -0.642718508921569 0.538163762448172
27 "SITTING" -0.647329814034974 0.533984958770938
28 "SITTING" -0.637322526513564 0.523550153103677
29 "SITTING" -0.644100724926612 0.54030786087254
30 "SITTING" -0.646017901904583 0.532835681402282
1 "STANDING" -0.647424789141436 0.542181337789553
2 "STANDING" -0.636454993012462 0.536059426538189
3 "STANDING" -0.626824657789309 0.523981202663951
4 "STANDING" -0.618583772157932 0.530351097607765
5 "STANDING" -0.618821537531601 0.526482578726867
6 "STANDING" -0.629253160586122 0.524918864445532
7 "STANDING" -0.63369010626409 0.528953245701607
8 "STANDING" -0.639463722621354 0.537725697835807
9 "STANDING" -0.633713631013694 0.526030674232032
10 "STANDING" -0.630886542166037 0.526755493498941
11 "STANDING" -0.648374467923916 0.536202658765753
12 "STANDING" -0.627684013763497 0.530219182625889
13 "STANDING" -0.639297749080434 0.535187318003595
14 "STANDING" -0.633771114374627 0.530378924305392
15 "STANDING" -0.640037091389994 0.53194178615701
16 "STANDING" -0.646538416475197 0.536027968915291
17 "STANDING" -0.644675070329398 0.541386142783106
18 "STANDING" -0.645518459042212 0.53099975134502
19 "STANDING" -0.640136697217531 0.531159784474125
20 "STANDING" -0.620027732157146 0.523601719784163
21 "STANDING" -0.638450214241584 0.528022506329555
22 "STANDING" -0.635992094486953 0.529999769322386
23 "STANDING" -0.637024168810267 0.531088424136574
24 "STANDING" -0.634194893841734 0.53344655282101
25 "STANDING" -0.645297950751058 0.528500727750385
26 "STANDING" -0.644004547265191 0.533694523050013
27 "STANDING" -0.644356212162637 0.535052504532977
28 "STANDING" -0.627883524309929 0.519990161399115
29 "STANDING" -0.650245278868483 0.536209908171482
30 "STANDING" -0.630635453342216 0.527699114956464
1 "LAYING" -0.607522391836014 0.542294404739403
2 "LAYING" -0.639973837827844 0.543318302012276
3 "LAYING" -0.641445804875381 0.53124691328834
4 "LAYING" -0.630875080725603 0.538918856382756
5 "LAYING" -0.631793505517319 0.544391929156741
6 "LAYING" -0.619421431071453 0.533051183737078
7 "LAYING" -0.628303269447471 0.542283798100629
8 "LAYING" -0.627089533537997 0.54552114969283
9 "LAYING" -0.628414047268328 0.530063039309266
10 "LAYING" -0.633606314208568 0.538143814511992
11 "LAYING" -0.643553031373099 0.539562164233576
12 "LAYING" -0.63012919397725 0.528718342661708
